Date,Windows,Unknown,OS X,Linux,macOS,Chrome OS,Other,Region
2023-01,55.07,34.96,7.16,2.74,0.0,0.06,0.0,Viet Nam
2023-02,54.95,35.37,6.74,2.89,0.0,0.05,0.0,Viet Nam
2023-03,52.23,38.97,6.23,2.53,0.0,0.05,0.0,Viet Nam
2023-04,37.54,55.95,4.42,2.04,0.0,0.05,0.0,Viet Nam
2023-05,38.57,54.5,4.85,2.04,0.0,0.04,0.0,Viet Nam
2023-06,71.14,15.54,9.53,3.71,0.0,0.09,0.0,Viet Nam
2023-07,74.93,12.48,10.22,2.28,0.0,0.09,0.0,Viet Nam
2023-08,74.21,13.88,9.66,2.17,0.0,0.08,0.0,Viet Nam
2023-09,74.91,13.67,9.17,2.19,0.0,0.06,0.0,Viet Nam
2023-10,74.7,12.47,10.22,2.53,0.0,0.07,0.0,Viet Nam
2023-11,77.56,9.48,9.94,2.95,0.0,0.08,0.0,Viet Nam
2023-12,77.52,10.34,9.0,3.06,0.0,0.08,0.0,Viet Nam
2024-01,74.41,13.09,8.8,3.61,0.0,0.09,0.0,Viet Nam
2024-02,65.82,20.65,8.74,4.69,0.0,0.09,0.0,Viet Nam
2024-03,64.08,22.32,8.68,4.84,0.0,0.08,0.0,Viet Nam
2024-04,68.76,16.84,9.26,5.06,0.0,0.08,0.0,Viet Nam
2024-05,73.33,12.59,9.23,4.78,0.0,0.07,0.0,Viet Nam
2024-06,72.33,15.22,8.49,3.9,0.0,0.06,0.0,Viet Nam
2024-07,70.2,16.4,8.66,4.68,0.0,0.07,0.0,Viet Nam
2024-08,71.77,14.81,8.81,4.55,0.0,0.07,0.0,Viet Nam
2024-09,74.24,11.54,9.4,4.74,0.0,0.08,0.0,Viet Nam
2024-10,76.31,11.15,8.49,3.98,0.0,0.07,0.0,Viet Nam
2024-11,74.33,12.55,8.78,4.27,0.0,0.07,0.0,Viet Nam
2024-12,72.45,14.61,8.84,4.03,0.0,0.06,0.0,Viet Nam
2025-01,66.44,20.72,9.0,3.77,0.0,0.07,0.01,Viet Nam
2025-02,64.85,22.55,8.59,3.93,0.0,0.08,0.0,Viet Nam
2025-03,66.1,20.6,8.0,4.16,1.06,0.08,0.01,Viet Nam
2025-04,62.58,23.95,6.44,4.22,2.73,0.06,0.0,Viet Nam
2025-05,62.41,25.2,5.92,3.79,2.62,0.06,0.0,Viet Nam
2025-06,91.72,5.66,1.24,0.81,0.56,0.01,0.0,Viet Nam
2025-07,97.03,2.01,0.47,0.27,0.22,0.0,0.0,Viet Nam
2025-08,90.05,6.93,1.41,0.83,0.76,0.02,0.0,Viet Nam
2025-09,69.6,21.27,4.38,2.33,2.36,0.05,0.0,Viet Nam
2025-10,62.02,17.91,15.71,1.92,2.41,0.03,0.0,Viet Nam
